Group	Bird ID	Grid Section	Number of Pecks
Landmark	378	42	0
Landmark	378	43	0
Landmark	378	44	0
Landmark	378	45	0
Landmark	378	46	0
Landmark	378	47	3
Landmark	378	48	0
Landmark	378	49	5
Landmark	378	50	0
Landmark	378	51	3
Landmark	378	52	2
Landmark	378	53	1
Landmark	378	54	1
Landmark	378	55	0
Landmark	378	56	0
Landmark	378	57	0
Landmark	378	58	0
Landmark	378	59	4
Landmark	378	60	3
Landmark	378	61	1
Landmark	378	62	2
Landmark	378	63	0
Landmark	378	64	0
Landmark	378	65	0
Landmark	378	66	0
Landmark	378	67	5
Landmark	378	68	1
Landmark	378	69	0
Landmark	378	70	0
Landmark	378	71	0
Landmark	378	72	0
Landmark	378	73	9
Landmark	378	74	2
Landmark	378	75	1
Landmark	378	76	2
Landmark	378	77	14
Landmark	378	78	14
Landmark	378	79	1
Landmark	378	80	0
Landmark	378	81	0
Landmark	378	82	0
Landmark	378	83	2
Landmark	378	84	4
Landmark	378	85	0
Landmark	378	86	0
Landmark	378	87	0
Landmark	378	88	0
Landmark	378	89	1
Landmark	378	90	0
Landmark	378	91	0
Landmark	378	92	0
Landmark	378	93	0
Landmark	378	94	3
Landmark	378	95	1
Landmark	378	96	3
Landmark	378	97	0
Landmark	378	98	0
Landmark	378	99	0
Landmark	378	100	0
Landmark	294	1	0
Landmark	294	2	0
Landmark	294	3	1
Landmark	294	4	0
Landmark	294	5	3
Landmark	294	6	0
Landmark	294	7	2
Landmark	294	8	4
Landmark	294	9	1
Landmark	294	10	0
Landmark	294	11	0
Landmark	294	12	0
Landmark	294	13	0
Landmark	294	14	5
Landmark	294	15	7
Landmark	294	16	0
Landmark	294	17	0
Landmark	294	18	6
Landmark	294	19	1
Landmark	294	20	0
Landmark	294	21	0
Landmark	294	22	0
Landmark	294	23	0
Landmark	294	24	1
Landmark	294	25	1
Landmark	294	26	0
Landmark	294	27	0
Landmark	294	28	1
Landmark	294	29	1
Landmark	294	30	0
Landmark	294	31	0
Landmark	294	32	0
Landmark	294	33	0
Landmark	294	34	0
Landmark	294	35	0
Landmark	294	36	0
Landmark	294	37	0
Landmark	294	38	1
Landmark	294	39	0
Landmark	294	40	0
Landmark	294	41	0
Landmark	294	42	0
Landmark	294	43	0
Landmark	294	44	0
Landmark	294	45	0
Landmark	294	46	0
Landmark	294	47	0
Landmark	294	48	0
Landmark	294	49	0
Landmark	294	50	0
Landmark	294	51	0
Landmark	294	52	0
Landmark	294	53	0
Landmark	294	54	0
Landmark	294	55	0
Landmark	294	56	0
Landmark	294	57	0
Landmark	294	58	0
Landmark	294	59	2
Landmark	294	60	1
Landmark	294	61	0
Landmark	294	62	1
Landmark	294	63	3
Landmark	294	64	0
Landmark	294	65	0
Landmark	294	66	0
Landmark	294	67	0
Landmark	294	68	0
Landmark	294	69	0
Landmark	294	70	1
Landmark	294	71	0
Landmark	294	72	3
Landmark	294	73	2
Landmark	294	74	1
Landmark	294	75	6
Landmark	294	76	4
Landmark	294	77	0
Landmark	294	78	3
Landmark	294	79	6
Landmark	294	80	7
Landmark	294	81	0
Landmark	294	82	0
Landmark	294	83	3
Landmark	294	84	5
Landmark	294	85	6
Landmark	294	86	4
Landmark	294	87	4
Landmark	294	88	0
Landmark	294	89	3
Landmark	294	90	2
Landmark	294	91	0
Landmark	294	92	0
Landmark	294	93	0
Landmark	294	94	0
Landmark	294	95	0
Landmark	294	96	0
Landmark	294	97	0
Landmark	294	98	0
Landmark	294	99	0
Landmark	294	100	0
Landmark	286	1	0
Landmark	286	2	0
Landmark	286	3	0
Landmark	286	4	0
Landmark	286	5	0
Landmark	286	6	2
Landmark	286	7	1
Landmark	286	8	1
Landmark	286	9	0
Landmark	286	10	0
Landmark	286	11	0
Landmark	286	12	2
Landmark	286	13	2
Landmark	286	14	0
Landmark	286	15	6
Landmark	286	16	7
Landmark	286	17	1
Landmark	286	18	5
Landmark	286	19	1
Landmark	286	20	0
Landmark	286	21	1
Landmark	286	22	4
Landmark	286	23	4
Landmark	286	24	2
Landmark	286	25	1
Landmark	286	26	1
Landmark	286	27	0
Landmark	286	28	3
Landmark	286	29	0
Landmark	286	30	0
Landmark	286	31	0
Landmark	286	32	5
Landmark	286	33	0
Landmark	286	34	0
Landmark	286	35	2
Landmark	286	36	0
Landmark	286	37	1
Landmark	286	38	2
Landmark	286	39	0
Landmark	286	40	0
Landmark	286	41	1
Landmark	286	42	0
Landmark	286	43	0
Landmark	286	44	0
Landmark	286	45	0
Landmark	286	46	0
Landmark	286	47	0
Landmark	286	48	5
Landmark	286	49	3
Landmark	286	50	0
Landmark	286	51	3
Landmark	286	52	1
Landmark	286	53	1
Landmark	286	54	2
Landmark	286	55	1
Landmark	286	56	0
Landmark	286	57	0
Landmark	286	58	4
Landmark	286	59	1
Landmark	286	60	0
Landmark	286	61	1
Landmark	286	62	2
Landmark	286	63	3
Landmark	286	64	5
Landmark	286	65	0
Landmark	286	66	0
Landmark	286	67	0
Landmark	286	68	2
Landmark	286	69	1
Landmark	286	70	3
Landmark	286	71	2
Landmark	286	72	0
Landmark	286	73	4
Landmark	286	74	9
Landmark	286	75	3
Landmark	286	76	1
Landmark	286	77	0
Landmark	286	78	1
Landmark	286	79	3
Landmark	286	80	2
Landmark	286	81	0
Landmark	286	82	0
Landmark	286	83	1
Landmark	286	84	10
Landmark	286	85	2
Landmark	286	86	0
Landmark	286	87	0
Landmark	286	88	2
Landmark	286	89	1
Landmark	286	90	0
Landmark	286	91	0
Landmark	286	92	0
Landmark	286	93	5
Landmark	286	94	4
Landmark	286	95	0
Landmark	286	96	0
Landmark	286	97	2
Landmark	286	98	1
Landmark	286	99	0
Landmark	286	100	0
Landmark	381	1	0
Landmark	381	2	0
Landmark	381	3	0
Landmark	381	4	0
Landmark	381	5	0
Landmark	381	6	3
Landmark	381	7	0
Landmark	381	8	0
Landmark	381	9	0
Landmark	381	10	0
Landmark	381	11	0
