WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
deaf	5.6	310	323	496	4	1	3	2.68	5
dealt	7.8	463	154	514	5	1	4	2.94	1
dean	10.9	671	325	402	4	1	3	3.30	9
debt	8.7	523	283	569	4	1	3	1.91	2
decay	7.7	459	445	465	5	2	4	2.28	3
decent	8.2	498	246	520	6	2	5	3.02	3
deed	8.1	495	240	451	4	1	3	3.27	13
delight	6.3	347	429	502	7	2	5	2.86	0
delude	10.2	638	200	427	6	2	5	2.42	1
deluge	11.4	700	340	365	6	2	6	2.77	1
demon	7.2	426	533	454	5	2	5	2.00	2
dense	8.4	500	279	492	5	1	4	2.88	2
dentist	5.2	283	635	480	7	2	7	3.02	0
descent	8.2	507	287	445	7	2	6	2.88	1
desert	5.4	305	615	514	6	2	5	2.88	0
deserve	6.4	373	209	562	7	2	5	2.69	1
desk	4.8	264	614	590	4	1	4	2.83	3
despise	8.0	467	300	478	7	2	6	2.84	1
destroy	6.1	338	360	517	7	2	6	2.67	0
detail	6.7	399	228	550	6	2	5	2.65	2
deviant	9.6	583	254	439	7	2	7	2.64	1
devise	9.1	560	160	471	6	2	5	2.82	3
digit	7.5	452	457	469	5	2	5	2.60	0
dinner	3.7	181	590	694	6	2	5	3.04	2
direct	7.1	407	160	541	6	2	6	2.77	0
dirt	4.3	220	475	562	4	1	3	2.76	5
disband	11.5	688	181	395	7	2	7	2.56	0
disco	6.3	361	579	517	5	2	5	1.53	1
disease	6.2	353	436	499	7	2	5	2.72	0
dish	4.4	221	594	594	4	1	3	2.73	5
dismiss	7.6	467	205	506	7	2	6	2.41	0
dispose	8.0	492	269	493	7	2	6	2.80	0
dissent	11.3	671	191	404	7	2	6	2.94	1
distant	6.9	407	355	506	7	2	7	2.93	0
diverse	9.4	567	217	513	7	2	5	2.61	1
divert	9.3	562	218	461	6	2	5	2.68	2
dizzy	5.0	268	376	516	5	2	4	1.50	1
dodgy	7.6	466	300	576	5	2	4	2.27	3
dogma	12.3	700	100	401	5	2	5	1.72	0
dole	10.5	647	265	422	4	1	3	3.18	15
dome	6.5	384	529	443	4	1	3	3.59	12
doom	7.4	430	260	440	4	1	3	3.59	6
dopey	6.4	361	358	463	5	2	4	2.57	1
dose	7.1	415	302	468	4	1	3	3.27	12
drab	8.9	520	320	429	4	1	4	2.07	6
draft	7.8	469	302	472	5	1	5	2.57	3
drag	5.3	289	366	520	4	1	4	2.14	7
draught	7.7	473	330	460	7	1	5	2.63	2
draw	4.4	227	414	584	4	1	3	2.19	5
drawn	5.1	291	275	498	5	1	4	2.69	6
dream	5.0	282	463	592	5	1	4	2.90	3
dress	4.1	227	661	592	5	1	4	3.08	5
dresser	6.9	407	506	451	7	2	6	2.91	2
drew	5.1	276	269	505	4	1	3	2.74	4
drift	7.2	420	331	492	5	1	5	2.60	1
drive	4.7	248	517	650	5	1	4	2.84	1
drop	4.4	225	410	576	4	1	4	2.87	3
drought	7.7	463	354	429	7	1	4	3.03	3
drown	5.7	313	465	466	5	1	4	2.97	5
drug	7.9	424	580	546	4	1	4	1.82	2
drunk	7.5	466	450	614	5	1	5	3.02	3
